(venv) [tuanmacbookpro@Tuans-MacBook-Pro-2 untitled folder 3 ]$ python main.py
✅ P_02/P_02_mat_000.png | Before: 6.85 KB | After: 3.14 KB
✅ templates/objects/effects/common/Claw_002.png | Before: 6.37 KB | After: 4.77 KB
✅ templates/objects/effects/common/Bomb_000.png | Before: 952.30 KB | After: 37.84 KB
✅ templates/objects/effects/common/Gun_009.png | Before: 9.51 KB | After: 7.74 KB
⚠️ templates/objects/effects/common/Fire_002.png | Before: 4.97 KB | After: 5.78 KB
✅ templates/objects/effects/common/ShockWave_A_001.png | Before: 1342.82 KB | After: 27.08 KB
✅ templates/objects/effects/common/ShockWave_A_000.png | Before: 1331.51 KB | After: 15.32 KB
⚠️ templates/objects/effects/common/Fire_003.png | Before: 3.26 KB | After: 3.75 KB
✅ templates/objects/effects/common/Gun_008.png | Before: 3.03 KB | After: 2.88 KB
⚠️ templates/objects/effects/common/Bomb_001.png | Before: 77.02 KB | After: 78.08 KB
✅ templates/objects/effects/common/Throw_001.png | Before: 913.94 KB | After: 0.87 KB
⚠️ templates/objects/effects/common/Magma_002.png | Before: 71.68 KB | After: 75.27 KB
✅ templates/objects/effects/common/Dust_003.png | Before: 6.87 KB | After: 4.96 KB
✅ templates/objects/effects/common/ShockWave_A_004.png | Before: 1364.05 KB | After: 51.13 KB
✅ templates/objects/effects/common/ShockWave_A_005.png | Before: 1340.27 KB | After: 24.22 KB
✅ templates/objects/effects/common/Dust_002.png | Before: 1.27 KB | After: 1.25 KB
✅ templates/objects/effects/common/Magma_003.png | Before: 27.71 KB | After: 27.58 KB
✅ templates/objects/effects/common/Rock_000.png | Before: 4.12 KB | After: 3.88 KB
⚠️ templates/objects/effects/common/Magma_001.png | Before: 6.66 KB | After: 7.20 KB
✅ templates/objects/effects/common/Dust_000.png | Before: 33871.03 KB | After: 0.83 KB
✅ templates/objects/effects/common/Fire_004.png | Before: 11.96 KB | After: 10.74 KB
✅ templates/objects/effects/common/ShockWave_A_007.png | Before: 1319.81 KB | After: 2.58 KB
✅ templates/objects/effects/common/ShockWave_A_006.png | Before: 1319.47 KB | After: 2.40 KB
✅ templates/objects/effects/common/Fire_005.png | Before: 2.52 KB | After: 1.11 KB
⚠️ templates/objects/effects/common/Dust_001.png | Before: 3.82 KB | After: 4.93 KB
⚠️ templates/objects/effects/common/Magma_000.png | Before: 16.80 KB | After: 18.21 KB
✅ templates/objects/effects/common/Rock_001.png | Before: 69.77 KB | After: 67.70 KB
✅ templates/objects/effects/common/ShockWave_B_001.png | Before: 1341.89 KB | After: 26.77 KB
✅ templates/objects/effects/common/ClawHit_000.png | Before: 5.05 KB | After: 4.84 KB
✅ templates/objects/effects/common/Confetti_000.png | Before: 1.81 KB | After: 0.49 KB
✅ templates/objects/effects/common/ClawHit_001.png | Before: 6.34 KB | After: 6.17 KB
⚠️ templates/objects/effects/common/Thunder_006.png | Before: 16.57 KB | After: 18.38 KB
✅ templates/objects/effects/common/ShockWave_B_000.png | Before: 1336.67 KB | After: 20.98 KB
✅ templates/objects/effects/common/ShockWave_B_002.png | Before: 1345.66 KB | After: 30.64 KB
⚠️ templates/objects/effects/common/Thunder_004.png | Before: 7.05 KB | After: 7.79 KB
✅ templates/objects/effects/common/Dash_004.png | Before: 3.18 KB | After: 1.88 KB
✅ templates/objects/effects/common/Crack_004.png | Before: 1327.35 KB | After: 8.34 KB
✅ templates/objects/effects/common/ClawHit_002.png | Before: 2.72 KB | After: 2.70 KB
✅ templates/objects/effects/common/Dash_005.png | Before: 914.37 KB | After: 1.30 KB
✅ templates/objects/effects/common/SwingUp_004.png | Before: 3.23 KB | After: 1.53 KB
✅ templates/objects/effects/common/Thunder_005.png | Before: 58.56 KB | After: 57.70 KB
✅ templates/objects/effects/common/ShockWave_B_003.png | Before: 22.01 KB | After: 21.21 KB
✅ templates/objects/effects/common/SwingUp_000.png | Before: 914.35 KB | After: 0.83 KB
✅ templates/objects/effects/common/Smoke_000.png | Before: 3.29 KB | After: 1.39 KB
⚠️ templates/objects/effects/common/Thunder_001.png | Before: 9.35 KB | After: 12.33 KB
✅ templates/objects/effects/common/Dash_001.png | Before: 2.93 KB | After: 1.65 KB
✅ templates/objects/effects/common/Crack_001.png | Before: 1321.99 KB | After: 2.93 KB
⚠️ templates/objects/effects/common/Shock_002.png | Before: 9.55 KB | After: 11.40 KB
✅ templates/objects/effects/common/Shock_003.png | Before: 9.32 KB | After: 8.97 KB
✅ templates/objects/effects/common/Crescent_002.png | Before: 1320.15 KB | After: 3.04 KB
✅ templates/objects/effects/common/Crack_000.png | Before: 1322.17 KB | After: 3.09 KB
✅ templates/objects/effects/common/Thunder_000.png | Before: 6.09 KB | After: 5.00 KB
✅ templates/objects/effects/common/Smoke_001.png | Before: 3.07 KB | After: 1.52 KB
✅ templates/objects/effects/common/SwingUp_001.png | Before: 915.78 KB | After: 2.41 KB
✅ templates/objects/effects/common/Fog_000.png | Before: 8.65 KB | After: 8.40 KB
✅ templates/objects/effects/common/SwingUp_003.png | Before: 915.76 KB | After: 2.19 KB
⚠️ templates/objects/effects/common/Thunder_002.png | Before: 7.10 KB | After: 7.86 KB
✅ templates/objects/effects/common/Dash_002.png | Before: 3.64 KB | After: 1.96 KB
✅ templates/objects/effects/common/Crack_002.png | Before: 1325.59 KB | After: 6.57 KB
✅ templates/objects/effects/common/Crescent_000.png | Before: 1326.26 KB | After: 9.10 KB
⚠️ templates/objects/effects/common/Shock_001.png | Before: 13.04 KB | After: 15.58 KB
⚠️ templates/objects/effects/common/Shock_000.png | Before: 7.84 KB | After: 8.97 KB
✅ templates/objects/effects/common/Crescent_001.png | Before: 1325.84 KB | After: 8.84 KB
✅ templates/objects/effects/common/Crack_003.png | Before: 1327.80 KB | After: 8.78 KB
✅ templates/objects/effects/common/Rain_00.png | Before: 0.19 KB | After: 0.15 KB
⚠️ templates/objects/effects/common/Bullet_000.png | Before: 0.88 KB | After: 1.13 KB
✅ templates/objects/effects/common/Dash_003.png | Before: 5.02 KB | After: 3.48 KB
⚠️ templates/objects/effects/common/Thunder_003.png | Before: 2.93 KB | After: 3.22 KB
✅ templates/objects/effects/common/SwingUp_002.png | Before: 916.23 KB | After: 2.86 KB
✅ templates/objects/effects/common/Slash_002.png | Before: 4.54 KB | After: 3.46 KB
⚠️ templates/objects/effects/common/Ring_05.png | Before: 2.96 KB | After: 3.34 KB
✅ templates/objects/effects/common/Scratch_002.png | Before: 914.46 KB | After: 1.30 KB
✅ templates/objects/effects/common/Spear_001.png | Before: 1327.58 KB | After: 9.28 KB
✅ templates/objects/effects/common/Sword_003.png | Before: 1320.28 KB | After: 1.40 KB
⚠️ templates/objects/effects/common/FireBall_000.png | Before: 74.71 KB | After: 79.58 KB
✅ templates/objects/effects/common/Sword_002.png | Before: 5.12 KB | After: 3.36 KB
✅ templates/objects/effects/common/Spear_000.png | Before: 6.68 KB | After: 5.55 KB
✅ templates/objects/effects/common/ZombieBlood_002.png | Before: 0.29 KB | After: 0.26 KB
✅ templates/objects/effects/common/Ring_04.png | Before: 3.70 KB | After: 2.70 KB
✅ templates/objects/effects/common/Slash_003.png | Before: 6.67 KB | After: 5.21 KB
✅ templates/objects/effects/common/Slash_001.png | Before: 7.21 KB | After: 6.09 KB
✅ templates/objects/effects/common/Spear_002.png | Before: 5.00 KB | After: 3.71 KB
✅ templates/objects/effects/common/Scratch_001.png | Before: 3.08 KB | After: 1.77 KB
✅ templates/objects/effects/common/Sword_000.png | Before: 3.46 KB | After: 1.79 KB
✅ templates/objects/effects/common/Sword_001.png | Before: 6.02 KB | After: 4.28 KB
✅ templates/objects/effects/common/Scratch_000.png | Before: 4.29 KB | After: 2.80 KB
✅ templates/objects/effects/common/ZombieBlood_001.png | Before: 6.14 KB | After: 5.78 KB
✅ templates/objects/effects/common/Slash_000.png | Before: 0.81 KB | After: 0.77 KB
⚠️ templates/objects/effects/common/Ring_03.png | Before: 0.67 KB | After: 0.73 KB
⚠️ templates/objects/effects/common/Slash_004.png | Before: 14.31 KB | After: 15.54 KB
✅ templates/objects/effects/common/Beam_000.png | Before: 0.28 KB | After: 0.26 KB
✅ templates/objects/effects/common/Sword_005.png | Before: 1321.13 KB | After: 2.05 KB
✅ templates/objects/effects/common/Sword_004.png | Before: 1320.84 KB | After: 1.96 KB
✅ templates/objects/effects/common/SwingDown_002.png | Before: 914.59 KB | After: 1.45 KB
⚠️ templates/objects/effects/common/Beam_001.png | Before: 0.92 KB | After: 1.06 KB
⚠️ templates/objects/effects/common/Slash_005.png | Before: 7.60 KB | After: 8.39 KB
✅ templates/objects/effects/common/Ring_02.png | Before: 2.17 KB | After: 0.98 KB
⚠️ templates/objects/effects/common/Ring_00.png | Before: 1.61 KB | After: 2.01 KB
✅ templates/objects/effects/common/SwingDown_000.png | Before: 5.92 KB | After: 4.48 KB
✅ templates/objects/effects/common/Snow_000.png | Before: 1.16 KB | After: 1.16 KB
✅ templates/objects/effects/common/SwingDown_001.png | Before: 916.55 KB | After: 3.30 KB
✅ templates/objects/effects/common/Mask_000.png | Before: 3.28 KB | After: 3.18 KB
✅ templates/objects/effects/common/Slash_006.png | Before: 4.37 KB | After: 4.23 KB
⚠️ templates/objects/effects/common/Ring_01.png | Before: 11.48 KB | After: 14.31 KB
✅ templates/objects/effects/common/Death_002.png | Before: 923.54 KB | After: 11.26 KB
⚠️ templates/objects/effects/common/Gun_003.png | Before: 1.15 KB | After: 1.43 KB
✅ templates/objects/effects/common/Circle_002.png | Before: 1.46 KB | After: 1.42 KB
✅ templates/objects/effects/common/Kira_003.png | Before: 3.83 KB | After: 3.75 KB
⚠️ templates/objects/effects/common/Vortex_004.png | Before: 14.88 KB | After: 16.69 KB
✅ templates/objects/effects/common/Kira_002.png | Before: 1.59 KB | After: 0.32 KB
✅ templates/objects/effects/common/Circle_003.png | Before: 1.27 KB | After: 1.21 KB
⚠️ templates/objects/effects/common/Gun_002.png | Before: 1.48 KB | After: 1.82 KB
✅ templates/objects/effects/common/Shot_000.png | Before: 6.94 KB | After: 5.22 KB
✅ templates/objects/effects/common/Death_003.png | Before: 924.11 KB | After: 11.51 KB
⚠️ templates/objects/effects/common/Gun_000.png | Before: 1.63 KB | After: 2.17 KB
✅ templates/objects/effects/common/Death_001.png | Before: 917.31 KB | After: 4.56 KB
✅ templates/objects/effects/common/Circle_001.png | Before: 1.82 KB | After: 0.52 KB
✅ templates/objects/effects/common/Kira_000.png | Before: 1.87 KB | After: 0.20 KB
✅ templates/objects/effects/common/Kira_001.png | Before: 0.53 KB | After: 0.49 KB
✅ templates/objects/effects/common/Circle_000.png | Before: 2.21 KB | After: 0.38 KB
✅ templates/objects/effects/common/Death_000.png | Before: 915.91 KB | After: 3.09 KB
✅ templates/objects/effects/common/Gun_001.png | Before: 9.58 KB | After: 7.79 KB
⚠️ templates/objects/effects/common/Eyebeam_001.png | Before: 6.67 KB | After: 7.29 KB
✅ templates/objects/effects/common/Gun_005.png | Before: 7.98 KB | After: 6.32 KB
✅ templates/objects/effects/common/Gun_011.png | Before: 6.20 KB | After: 4.78 KB
✅ templates/objects/effects/common/Death_004.png | Before: 920.72 KB | After: 8.28 KB
✅ templates/objects/effects/common/Stab_000.png | Before: 3.96 KB | After: 2.23 KB
✅ templates/objects/effects/common/Ice_000.png | Before: 2.40 KB | After: 2.28 KB
✅ templates/objects/effects/common/Circle_004.png | Before: 1.24 KB | After: 1.17 KB
⚠️ templates/objects/effects/common/Vortex_002.png | Before: 7.46 KB | After: 9.05 KB
✅ templates/objects/effects/common/Kira_005.png | Before: 14.31 KB | After: 14.02 KB
✅ templates/objects/effects/common/Kira_004.png | Before: 7.55 KB | After: 7.33 KB
⚠️ templates/objects/effects/common/Vortex_003.png | Before: 12.39 KB | After: 16.13 KB
✅ templates/objects/effects/common/Circle_005.png | Before: 1.81 KB | After: 1.66 KB
✅ templates/objects/effects/common/Line_000.png | Before: 0.21 KB | After: 0.18 KB
✅ templates/objects/effects/common/Ice_001.png | Before: 5.38 KB | After: 4.05 KB
✅ templates/objects/effects/common/Death_005.png | Before: 916.59 KB | After: 3.70 KB
✅ templates/objects/effects/common/Gun_010.png | Before: 7.72 KB | After: 6.27 KB
✅ templates/objects/effects/common/Attack_000.png | Before: 4.98 KB | After: 3.52 KB
✅ templates/objects/effects/common/DragonSmoke_000.png | Before: 49.68 KB | After: 47.82 KB
✅ templates/objects/effects/common/Eyebeam_002.png | Before: 6.03 KB | After: 4.79 KB
✅ templates/objects/effects/common/Gun_006.png | Before: 918.56 KB | After: 4.80 KB
✅ templates/objects/effects/common/Axe_001.png | Before: 4.26 KB | After: 2.87 KB
✅ templates/objects/effects/common/Bodyblow_000.png | Before: 1.07 KB | After: 1.01 KB
✅ templates/objects/effects/common/Ice_003.png | Before: 2.56 KB | After: 1.27 KB
⚠️ templates/objects/effects/common/Vortex_001.png | Before: 11.74 KB | After: 13.95 KB
✅ templates/objects/effects/common/Kira_006.png | Before: 19.08 KB | After: 18.37 KB
✅ templates/objects/effects/common/Kira_007.png | Before: 10.58 KB | After: 10.18 KB
✅ templates/objects/effects/common/flash_000.png | Before: 6.35 KB | After: 5.29 KB
⚠️ templates/objects/effects/common/Vortex_000.png | Before: 12.15 KB | After: 15.62 KB
✅ templates/objects/effects/common/Ice_002.png | Before: 4.93 KB | After: 3.63 KB
✅ templates/objects/effects/common/Bodyblow_001.png | Before: 1.04 KB | After: 0.99 KB
✅ templates/objects/effects/common/Axe_000.png | Before: 7.39 KB | After: 6.18 KB
✅ templates/objects/effects/common/Gun_007.png | Before: 6.11 KB | After: 5.84 KB
✅ templates/objects/functional/F_008/F_008_rock_rubble_00_01.png | Before: 0.38 KB | After: 0.37 KB
✅ templates/objects/functional/F_008/F_008_rock_rubble_00_00.png | Before: 914.40 KB | After: 1.03 KB
✅ templates/objects/functional/F_007/F_007_rock_rubble_00_00.png | Before: 914.15 KB | After: 0.80 KB
✅ templates/objects/functional/F_007/F_007_rock_rubble_00_01.png | Before: 0.38 KB | After: 0.38 KB
⚠️ templates/objects/functional/F_014/F_014_wallswitch_00.png | Before: 0.56 KB | After: 0.58 KB
⚠️ templates/objects/functional/F_014/F_014_wallswitch_01.png | Before: 0.51 KB | After: 0.51 KB
⚠️ templates/objects/functional/F_013/F_013_lever_01.png | Before: 0.67 KB | After: 0.71 KB
⚠️ templates/objects/functional/F_013/F_013_lever_00.png | Before: 0.48 KB | After: 0.49 KB
✅ templates/objects/functional/F_012/F_012_floorswitch_01.png | Before: 1.59 KB | After: 0.33 KB
✅ templates/objects/functional/F_012/F_012_floorswitch_00.png | Before: 1.69 KB | After: 0.43 KB
✅ templates/objects/functional/F_010/F_010_platform_00.png | Before: 914.10 KB | After: 0.75 KB
✅ templates/objects/functional/F_010/F_010_platform_01.png | Before: 914.19 KB | After: 0.83 KB
✅ templates/objects/functional/F_010/F_010_platform_03.png | Before: 0.27 KB | After: 0.25 KB
⚠️ templates/objects/functional/F_010/F_010_platform_02.png | Before: 0.34 KB | After: 0.35 KB
✅ templates/objects/functional/F_010/F_010_platform_05.png | Before: 0.65 KB | After: 0.62 KB
⚠️ templates/objects/functional/F_010/F_010_platform_04.png | Before: 0.35 KB | After: 0.36 KB
✅ templates/objects/functional/F_011/F_011_jump_04.png | Before: 2.01 KB | After: 0.72 KB
✅ templates/objects/functional/F_011/F_011_jump_03.png | Before: 2.00 KB | After: 0.72 KB
✅ templates/objects/functional/F_011/F_011_jump_02.png | Before: 1.93 KB | After: 0.46 KB
✅ templates/objects/functional/F_011/F_011_jump_00.png | Before: 2.14 KB | After: 0.67 KB
✅ templates/objects/functional/F_011/F_011_jump_01.png | Before: 1.81 KB | After: 0.54 KB
✅ templates/objects/animated/A_001/A_001_treasurebox_00.png | Before: 0.60 KB | After: 0.59 KB
✅ templates/objects/animated/A_001/A_001_treasurebox_01.png | Before: 0.63 KB | After: 0.63 KB
✅ templates/objects/animated/A_001/A_001_treasurebox_02.png | Before: 0.66 KB | After: 0.65 KB
⚠️ templates/objects/animated/A_002/A_002_treasurebox_02.png | Before: 0.75 KB | After: 0.77 KB
⚠️ templates/objects/animated/A_002/A_002_treasurebox_01.png | Before: 0.87 KB | After: 0.94 KB
⚠️ templates/objects/animated/A_002/A_002_treasurebox_00.png | Before: 0.75 KB | After: 0.79 KB
⚠️ templates/objects/animated/A_003/A_003_treasurebox_02.png | Before: 1.45 KB | After: 1.50 KB
⚠️ templates/objects/animated/A_003/A_003_treasurebox_00.png | Before: 1.74 KB | After: 1.88 KB
⚠️ templates/objects/animated/A_003/A_003_treasurebox_01.png | Before: 1.83 KB | After: 1.98 KB
✅ templates/objects/enemies/E_01/E_01_mask_000.png | Before: 0.18 KB | After: 0.17 KB
✅ templates/objects/enemies/E_01/E_01_mat_000_02.png | Before: 7.49 KB | After: 3.85 KB
✅ templates/objects/enemies/E_01/E_01_mat_000_01.png | Before: 917.44 KB | After: 3.30 KB
✅ templates/objects/enemies/E_05/E_05_mat_000_01.png | Before: 2.83 KB | After: 2.61 KB
✅ templates/objects/enemies/E_05/E_05_mat_000_02.png | Before: 4.57 KB | After: 3.08 KB
✅ templates/objects/enemies/E_02/E_02_mat_001.png | Before: 6.92 KB | After: 3.20 KB
✅ templates/objects/enemies/E_02/E_02_mat_000.png | Before: 3.63 KB | After: 3.31 KB
✅ templates/objects/enemies/E_03/E_03_mat_000_01.png | Before: 6.45 KB | After: 2.83 KB
✅ templates/objects/enemies/E_03/E_03_mat_000_02.png | Before: 5.64 KB | After: 2.09 KB
✅ templates/objects/enemies/E_04/E_04_mat_000_02.png | Before: 3.63 KB | After: 1.63 KB
✅ templates/objects/enemies/E_04/E_04_mat_000_03.png | Before: 915.56 KB | After: 1.57 KB
✅ templates/objects/enemies/E_04/E_04_mat_000_01.png | Before: 6.93 KB | After: 3.68 KB
✅ P_01/P_01_mat_000.png | Before: 7.18 KB | After: 3.30 KB

=== Summary by folder ===
P_02: Before = 6.85 KB | After = 3.14 KB
MakerAll-Stars SkinPack/Skin_graphics/P_04: Before = 7.47 KB | After = 2.58 KB
MakerAll-Stars SkinPack/Skin_graphics/P_04/P_04: Before = 7.47 KB | After = 2.58 KB
MakerAll-Stars SkinPack/Skin_graphics/P_03: Before = 5.89 KB | After = 6.10 KB
MakerAll-Stars SkinPack/Skin_graphics/P_03/P_03: Before = 13.75 KB | After = 9.08 KB
MakerAll-Stars SkinPack/Skin_graphics/P_02: Before = 12.10 KB | After = 12.56 KB
MakerAll-Stars SkinPack/Skin_graphics/P_05: Before = 7.89 KB | After = 2.50 KB
MakerAll-Stars SkinPack/Skin_graphics/P_05/P_05: Before = 7.86 KB | After = 2.50 KB
MakerAll-Stars SkinPack/Skin_graphics/B_01: Before = 8.30 KB | After = 8.74 KB
MakerAll-Stars SkinPack/Skin_graphics/P_01: Before = 35.97 KB | After = 32.20 KB
templates/objects/ui/emotionicons/common: Before = 6.54 KB | After = 4.82 KB
templates/objects/ui/interfaces/variation_02: Before = 3897.03 KB | After = 218.07 KB
templates/objects/ui/interfaces/variation_03: Before = 100.56 KB | After = 79.97 KB
templates/objects/ui/interfaces/variation_04: Before = 973.01 KB | After = 49.27 KB
templates/objects/ui/interfaces/variation_01: Before = 2265.06 KB | After = 397.32 KB
templates/objects/weapons/W_008: Before = 1.94 KB | After = 0.62 KB
templates/objects/weapons/W_006: Before = 1.72 KB | After = 0.41 KB
templates/objects/weapons/W_001: Before = 1.74 KB | After = 0.44 KB
templates/objects/weapons/W_000: Before = 1.69 KB | After = 0.37 KB
templates/objects/weapons/W_007: Before = 1.76 KB | After = 0.44 KB
templates/objects/weapons/W_009: Before = 2.13 KB | After = 0.80 KB
templates/objects/weapons/P_001: Before = 0.56 KB | After = 0.56 KB
templates/objects/weapons/P_006: Before = 0.28 KB | After = 0.28 KB
templates/objects/weapons/P_008: Before = 0.36 KB | After = 0.35 KB
templates/objects/weapons/P_009: Before = 0.67 KB | After = 0.68 KB
templates/objects/weapons/P_007: Before = 1.85 KB | After = 0.57 KB
templates/objects/weapons/W_014: Before = 1.92 KB | After = 0.58 KB
templates/objects/weapons/W_013: Before = 1.84 KB | After = 0.52 KB
templates/objects/weapons/W_012: Before = 1.92 KB | After = 0.60 KB
templates/objects/weapons/W_002: Before = 1.82 KB | After = 0.49 KB
templates/objects/weapons/W_005: Before = 0.38 KB | After = 0.34 KB
templates/objects/weapons/W_004: Before = 2.08 KB | After = 0.75 KB
templates/objects/weapons/W_003: Before = 1.75 KB | After = 0.44 KB
templates/objects/weapons/P_005: Before = 0.58 KB | After = 0.56 KB
templates/objects/weapons/P_002: Before = 0.52 KB | After = 0.49 KB
templates/objects/weapons/P_003: Before = 0.52 KB | After = 0.50 KB
templates/objects/weapons/P_010: Before = 0.38 KB | After = 0.36 KB
templates/objects/weapons/W_010: Before = 2.11 KB | After = 0.78 KB
templates/objects/weapons/W_011: Before = 1.70 KB | After = 0.38 KB
templates/objects/particles/common: Before = 124.89 KB | After = 119.95 KB
templates/objects/decorations/D_002: Before = 2747.99 KB | After = 7.88 KB
templates/objects/decorations/D_011: Before = 913.87 KB | After = 0.32 KB
templates/objects/decorations/D_010: Before = 23.84 KB | After = 26.94 KB
templates/objects/bosses/B_02: Before = 465.03 KB | After = 472.90 KB
templates/objects/bosses/B_01: Before = 6.05 KB | After = 5.59 KB
templates/objects/items/I_002: Before = 5485.76 KB | After = 2.12 KB
templates/objects/items/I_005: Before = 930.62 KB | After = 13.19 KB
templates/objects/items/I_004: Before = 8230.18 KB | After = 4.95 KB
templates/objects/items/I_003: Before = 20122.84 KB | After = 16.63 KB
templates/objects/items/I_008: Before = 0.99 KB | After = 0.99 KB
templates/objects/items/I_006: Before = 7315.83 KB | After = 4.42 KB
templates/objects/items/I_001: Before = 914.70 KB | After = 0.81 KB
templates/objects/items/I_007: Before = 4572.67 KB | After = 3.22 KB
templates/objects/characters/P_02: Before = 6.85 KB | After = 3.14 KB
templates/objects/characters/P_01: Before = 7.18 KB | After = 3.30 KB
templates/objects/effects/common: Before = 83103.61 KB | After = 1570.19 KB
templates/objects/functional/F_008: Before = 914.78 KB | After = 1.40 KB
templates/objects/functional/F_007: Before = 914.53 KB | After = 1.18 KB
templates/objects/functional/F_014: Before = 1.07 KB | After = 1.09 KB
templates/objects/functional/F_013: Before = 1.15 KB | After = 1.20 KB
templates/objects/functional/F_012: Before = 3.29 KB | After = 0.75 KB
templates/objects/functional/F_010: Before = 1829.90 KB | After = 3.16 KB
templates/objects/functional/F_011: Before = 9.88 KB | After = 3.11 KB
templates/objects/animated/A_001: Before = 1.89 KB | After = 1.86 KB
templates/objects/animated/A_002: Before = 2.37 KB | After = 2.51 KB
templates/objects/animated/A_003: Before = 5.01 KB | After = 5.36 KB
templates/objects/enemies/E_01: Before = 925.11 KB | After = 7.31 KB
templates/objects/enemies/E_05: Before = 7.39 KB | After = 5.69 KB
templates/objects/enemies/E_02: Before = 10.55 KB | After = 6.51 KB
templates/objects/enemies/E_03: Before = 12.09 KB | After = 4.92 KB
templates/objects/enemies/E_04: Before = 926.12 KB | After = 6.88 KB
P_01: Before = 7.18 KB | After = 3.30 KB

=== Total summary ===
Total before: 147933.19 KB
Total after : 3156.49 KB
